name,period,hand,goal,pos
A. Athanasiou,4,L,False,LW
A. Athanasiou,4,L,False,LW
A. Beauvillier,4,L,False,C
A. Beauvillier,4,L,False,C
A. Beauvillier,4,L,False,C
A. Kempe,4,L,False,LW
A. Killorn,4,L,False,LW
A. Killorn,4,L,False,LW
A. Kopitar,4,L,False,C
A. Kopitar,4,L,False,C
A. Lee,4,L,False,LW
A. Lee,4,L,True,LW
A. Mantha,4,L,False,RW
A. Matthews,4,L,False,C
A. Matthews,4,L,False,C
A. Ovechkin,4,R,False,LW
A. Ovechkin,4,R,False,LW
A. Ovechkin,4,R,False,LW
A. Ovechkin,4,R,False,LW
A. Pietrangelo,4,R,False,D
A. Pietrangelo,4,R,False,D
B. Horvat,4,L,False,C
B. Marchand,4,L,False,LW
B. Marchand,4,L,False,LW
B. Nelson,4,L,False,C
B. Nelson,4,L,True,C
B. Nelson,4,L,False,C
B. Nelson,4,L,False,C
B. Rust,4,R,False,RW
B. Rust,4,R,False,RW
B. Rust,4,R,True,RW
B. Rust,4,R,False,RW
C. Atkinson,4,R,False,RW
C. Cizikas,4,L,False,C
C. Coyle,4,R,False,C
C. Giroux,4,R,False,C
C. McAvoy,4,R,False,D
C. McAvoy,4,R,False,D
D. Brown,4,R,False,RW
D. Doughty,4,R,False,D
D. Hamilton,4,R,False,D
D. Krejci,4,R,False,C
D. Larkin,4,L,False,C
D. Larkin,4,L,False,C
D. Larkin,4,L,False,C
D. Larkin,4,L,False,C
D. Orlov,4,L,False,D
D. Pastrnak,4,R,False,RW
D. Pastrnak,4,R,False,RW
E. Lindholm,4,R,False,C
G. Lindstrom,4,R,False,D
I. Kovalchuk,4,R,False,RW
I. Provorov,4,L,False,D
J. Archibald,4,R,True,RW
J. Armia,4,R,False,RW
J. Boqvist,4,L,False,C
J. Boqvist,4,L,False,C
J. Carlson,4,R,False,D
J. Carlson,4,R,False,D
J. Carlson,4,R,False,D
J. Eberle,4,R,False,C
J. Eberle,4,R,False,C
J. Gardiner,4,L,True,D
J. Gardiner,4,L,False,D
J. Gaudreau,4,L,False,LW
J. Gaudreau,4,L,False,LW
J. Guentzel,4,L,True,C
J. Holl,4,R,False,D
J. Marino,4,R,False,D
J. Pageau,4,R,True,C
J. Pageau,4,R,False,C
J. Petry,4,R,False,D
J. Schultz,4,R,False,D
J. Slavin,4,L,True,D
J. Tavares,4,L,False,C
J. Tavares,4,L,False,C
J. Tavares,4,L,True,C
J. Toews,4,L,True,C
J. Voracek,4,L,False,RW
J. Vrana,4,L,False,LW
J. Vrana,4,L,False,LW
K. Letang,4,R,False,D
L. Draisaitl,4,L,True,C
M. Backlund,4,L,False,C
M. Backlund,4,L,False,C
M. Backlund,4,L,False,C
M. Backlund,4,L,False,C
M. Barzal,4,R,False,C
M. Domi,4,L,False,LW
M. Domi,4,L,False,LW
M. Domi,4,L,True,LW
M. Frk,4,R,False,RW
M. Giordano,4,L,False,D
M. Necas,4,R,False,C
M. Necas,4,R,False,C
M. Rantanen,4,L,False,RW
M. Roy,4,R,False,D
N. Backstrom,4,L,False,C
N. Backstrom,4,L,False,C
N. Jensen,4,R,False,D
N. Kucherov,4,L,False,RW
P. Bergeron,4,R,False,C
P. Bergeron,4,R,True,C
P. Zacha,4,L,False,C
Q. Hughes,4,L,False,D
R. Fabbri,4,L,False,C
R. Fabbri,4,L,False,C
R. McDonagh,4,L,False,D
R. McDonagh,4,L,False,D
R. McDonagh,4,L,False,D
R. McDonagh,4,L,False,D
R. O'Reilly,4,L,False,C
R. Pulock,4,R,False,D
S. Aho,4,L,False,RW
S. Aho,4,L,False,RW
S. Couturier,4,L,False,C
S. Couturier,4,L,False,C
S. Crosby,4,L,True,C
S. Jones,4,R,False,D
S. Monahan,4,L,False,C
S. Monahan,4,L,True,C
S. Vatanen,4,R,False,D
S. Walker,4,R,False,D
S. Walker,4,R,False,D
S. Walker,4,R,False,D
T. Bertuzzi,4,L,False,LW
T. Chabot,4,L,False,D
T. Johnson,4,R,False,C
T. Krug,4,L,False,D
T. Oshie,4,R,False,RW
T. Sanheim,4,L,False,D
T. Tatar,4,L,False,LW
T. Tatar,4,L,False,LW
T. Teravainen,4,L,False,LW
T. Teravainen,4,L,False,LW
T. Teravainen,4,L,False,LW
T. Toffoli,4,R,False,C
T. Toffoli,4,R,False,C
V. Filppula,4,L,False,C
V. Filppula,4,L,False,C
W. Nylander,4,R,False,C
Z. Hyman,4,R,False,C
Z. Hyman,4,R,False,C
Z. Hyman,4,R,False,C
Z. Werenski,4,L,True,D
Z. Werenski,4,L,False,D
Z. Werenski,4,L,False,D
